repo	path	snapshot_ahead	path_exists	registered_now	current_branch	head_sha	base_branch	base_sha	dirty_count	ahead_now	cherry_new_count	containing_refs	exact_refs	operation_state	git_dir	error
EnterpriseBench	/home/ds/projects/EnterpriseBench-0fx	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-0fx	
EnterpriseBench	/home/ds/projects/EnterpriseBench-30d6	2	true	true	HEAD	916003a3707de1781a7fd3a63ec93cb1d6fca3ab	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	2			none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-30d6	
EnterpriseBench	/home/ds/projects/EnterpriseBench-4sif	2	true	true	HEAD	50195775c257a5241bf444b7a2458ba99e174c27	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	2			none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-4sif	
EnterpriseBench	/home/ds/projects/EnterpriseBench-7en	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-7en	
EnterpriseBench	/home/ds/projects/EnterpriseBench-bt6	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-bt6	
EnterpriseBench	/home/ds/projects/EnterpriseBench-cxa	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-cxa	
EnterpriseBench	/home/ds/projects/EnterpriseBench-hktt	1	true	true	HEAD	78cfcd23ee38a0c9b0070b434253a02fa45adb28	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	1	1	refs/heads/audit/hktt-docker-cp-silent-zeros	refs/heads/audit/hktt-docker-cp-silent-zeros	none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-hktt	
EnterpriseBench	/home/ds/projects/EnterpriseBench-ose	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-ose	
EnterpriseBench	/home/ds/projects/EnterpriseBench-vp7	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-vp7	
EnterpriseBench	/home/ds/projects/EnterpriseBench-y50	2	true	true	HEAD	28e45645e79419e409604253d030484c81b018ca	main	e439534c22a4ae4205d8d21859c59094a9e6a02a	0	2	0	refs/heads/3psg/document-equal-weighting;refs/heads/audit/eb-966x-mcp-token-validity;refs/heads/eemk/untrack-results-artifacts;refs/heads/feature/eb-1av-unified-scoreresult;refs/heads/fix/eb-c7wb-mcp-preflight-hardfail;refs/heads/fix/eb-cdzi-runner-consolidation;refs/heads/fix/eb-f2-leak-triage;refs/heads/fix/eb-k6p-repair-8-multirepo-verifiers;refs/heads/fix/eb-kxt-decision-b-remediation;refs/heads/fix/eb-lrm-python3-verifier-sweep;refs/heads/fix/eb-s58f-container-eacces-failloud;refs/heads/u3jb/judge-test-coverage;refs/heads/yalg/judge-test-coverage-nits;refs/remotes/origin/fix/eb-lrm-python3-verifier-sweep		none	/home/ds/projects/EnterpriseBench/.git/worktrees/EnterpriseBench-y50	
