ID                         STATUS       ASSIGNEE                                        TITLE
EnterpriseBench-064        open         —                                               Rollup(enterprisebench): MCP-lift review drafts (fr6) branch-ready — cbk now fully unblocked for Stephanie's review
EnterpriseBench-0db        open         —                                               Rollup(enterprisebench): Stephanie audit questions answered honestly + run-set audit (dph) and MCP-lift study (323) dispatched
EnterpriseBench-0t0        open         —                                               Rollup(enterprisebench): verifier-contamination event CLOSED — ose repair landed branch-ready, recurrence gate in CI, zero published-number impact
EnterpriseBench-1fb2       open         —                                               mol-focus-review workspace-setup uses --detach, causing orphaned unreachable commits on worktree teardown
EnterpriseBench-1pl        open         —                                               Rollup(enterprisebench): P0s closed; P1 fixes + backfill dispatched; corrected mayor's false '.28 unblocked' premise; worker-2 missing
EnterpriseBench-2584       open         —                                               Rollup(enterprisebench): p6ux mirror policy = STEPHANIE's call (mayor-surfaced); audit dispatched; feo8 fully mirror-blocked
EnterpriseBench-2b0k       open         —                                               Rebase fix/eb-wbsq-scoring-gaps onto origin/main (semantic conflicts: run_task.py appendix+chown, test_instruction_mcp_preamble) — Stephanie greenlit publish
EnterpriseBench-2gj0       open         —                                               Rollup(enterprisebench): p6ux batch-1 DONE 4/4 success — missing-mirror infra + flat-MCP-signal findings; batch-2 launched
EnterpriseBench-2m83       open         —                                               Rollup(enterprisebench): tick 2026-07-06 — rig healthy; 2 P1s mayor-wedged unchanged; 16 convoy tails latched (mailed mayor); no decision pending
EnterpriseBench-2mk        open         —                                               Rollup(enterprisebench): claim-reset escalated to work ABANDONMENT on wave-2 (re-locked + nudged); tev undelivered ~13.5h, 3 mayor mails unanswered
EnterpriseBench-37th       open         —                                               Rollup(enterprisebench): tick 2026-07-06 ~14:00Z — apfp scoring fix backed out of broken formula, handed to mayor for direct dispatch; pt0n/lyse ungated (e1eq green); 5vtg superseded by pakh
EnterpriseBench-406a       open         —                                               Rollup(enterprisebench): dead-pool convoy resolved — 046/zco both CLOSED pass, infra thread closed
EnterpriseBench-50q        open         —                                               Rollup(enterprisebench): asked mayor to mirror 1gvr (F2 leakage) into decisions rig like tev — unstick the older paper-lock blocker
EnterpriseBench-5566       open         —                                               Rollup(enterprisebench): last critical-path bead aq8e was routed-but-asleep ~68min — unstuck via wake+nudge, now progressing; branch-ready items unchanged in mayor queue
EnterpriseBench-5whp       open         —                                               Rollup(enterprisebench): 966x validity audit CLEARS locked N=105 + MCP-lift of token-expiry concern; c7wb soundness fix branch-ready — both awaiting mayor publish
EnterpriseBench-6nrh       open         —                                               Rollup(enterprisebench): CORRECTION to vbj0 — in_progress residue masks a real close-without-merge bug (--detach); credibility fixes safe on branches, uo8v confirmed lost
EnterpriseBench-6v50       open         —                                               Rollup(enterprisebench): mol-focus-review caught bad ground truth on 6plb, but convoy wedged (hard-reject advanced to finalize); routed to mayor
EnterpriseBench-6v8        open         —                                               Rollup(enterprisebench): F2 leak triage CLOSED — all 14 tokens waived as false positives, 0 warnings remain; decision-B remediation in flight
EnterpriseBench-6w9        open         —                                               Rollup(enterprisebench): all 3 paper-lock decisions resolved (B/A/publish) + dispatched — rig active on remediation + leak triage
EnterpriseBench-6xm7       open         —                                               Rollup(enterprisebench): tick 2026-07-06 ~10:00Z — 859y slung, 3 workers wedged (mayor Tier-1)
EnterpriseBench-73pw       open         —                                               mol-focus-review finalize step lacks cd-into-worktree guard (uo8v landed nowhere)
EnterpriseBench-7zp        open         —                                               Rollup(enterprisebench): CSB MCP-lift deepening (dse) in flight — executes the open paper-scope escalate's +reps path, de-confounds model from tooling
EnterpriseBench-82d        open         —                                               Rollup(enterprisebench): wave-2 mirror remediation COMPLETE (24/51 tasks, 47/88 mirrors); wave-3 dispatched but routed-unclaimed — worker auto-scaler now down too
EnterpriseBench-8g8w       open         —                                               Rollup(enterprisebench): cdzi rebase BLOCKED on publish-ordering (mayor-routed); 966x clears 9awn re-score avenue; c7wb done pending publish
EnterpriseBench-9eie       open         —                                               Rollup(enterprisebench): dispatch DOWN — sling fails on unqualified control-dispatcher agent name; re-run double-gated
EnterpriseBench-a7ti       open         —                                               Rollup(enterprisebench): 3 verification beads dispatched (e1eq/3kax/859y); pt0n+lyse re-runs held on e1eq
EnterpriseBench-apfp       open         —                                               Scorer trust boundary: 3 NEW on-main silent-misscore bugs + consolidate the score-integrity invariant
EnterpriseBench-b7xh       open         —                                               Rollup(enterprisebench): Stephanie approved mirror-fix policy (A); remediation queued; dual-repo waves HARD-STOPPED on atomicity fix hpyx
EnterpriseBench-bgr7       open         —                                               Rollup(enterprisebench): tick 2026-07-06 ~21:20Z — broken-formula backlog steady in mayor's court; 2b0k rebase done under direct-dispatch; apfp/mi5v still pending
EnterpriseBench-bhbv       open         —                                               Rollup(enterprisebench): 3 orphaned-commit/plumbing recovery beads dispatched (6gmu/oihq/8cpp); uo8v held on 6gmu
EnterpriseBench-bsov       open         —                                               Rollup(enterprisebench): cross-suite validator artifact-format defect (4dxg) blocks correct scoring in 3 suites — fix dispatched, validity-flag folds into chaw/bvjx
EnterpriseBench-c8o        open         —                                               Rollup(enterprisebench): wave-2 mirrors greenlit under batch authority (2 first repins, logged); claim-reset hit 6th time at approval gates
EnterpriseBench-cdzi       open         —                                               Consolidate verifier-soundness fix into lib/eb_verify/runner.py:_load_agent_output (audit #5 twin of hmcp)
EnterpriseBench-cj0y       open         —                                               Rollup(enterprisebench): checkpoint-weighting decision resolved — Option A (document equal-weighting, no re-runs), dispatched as yqn8
EnterpriseBench-cpk        open         —                                               Rollup(enterprisebench): .22 + .25 closed (16/37 unmask vs ~30 predicted); new topo_order markdown bug 9nb gates .28 — fix dispatched, path is 9nb -> .28
EnterpriseBench-e8lk       open         —                                               Rollup(enterprisebench): mayor validated baseline finalize + confirmed token is Stephanie's unblock (relays on land); c7wb soundness fix branch-ready imminent, cdzi in flight
EnterpriseBench-eei0       open         —                                               Rollup(enterprisebench): MCP 'flat signal' now gated on a VALIDITY AUDIT — 3 instrumentation defects can silently zero MCP modes
EnterpriseBench-ejnh       open         —                                               Rollup(enterprisebench): p6ux corrected mirror scope relayed (7/11 buildable, fix mostly cheap); batch-3 advancing; MCP signal trending flat
